index,Player,Year of Birth,G,WS,Seasons,WS/Season,Time line adjusted,Career Value,Three Best Years,5 year Total WS,Total
1,Wilt Chamberlain*,1937.0,1045.0,247.2,12.74390243902439,19.397511961722486,13.7,24.8592115848753,23.333333333333332,21.099999999999998,102.39005687993111
0,Kareem Abdul-Jabbar*,1948.0,1560.0,273.3,19.024390243902438,14.365769230769232,14.8,26.11312822472769,23.2,20.360000000000003,98.83889745549692
4,Michael Jordan*,1964.0,1072.0,213.9,13.073170731707316,16.361753731343285,16.4,23.054537615865488,20.63333333333333,19.6,96.04962468054211
3,LeBron James,1985.0,1198.0,226.8,14.609756097560975,15.523873121869784,18.5,23.783557046979865,19.366666666666667,17.64,94.81409683551631
68,George Mikan*,1925.0,439.0,108.7,5.353658536585366,20.303872437357633,12.5,15.151937552272093,21.8,18.880000000000003,88.63580998962973
14,David Robinson*,1966.0,987.0,178.79999999999998,12.036585365853659,14.854711246200607,16.6,20.848880597014926,18.599999999999998,16.580000000000002,87.48359184321554
10,Oscar Robertson*,1939.0,1040.0,189.10000000000005,12.682926829268293,14.909807692307696,13.9,21.53268048280574,18.333333333333332,17.74,86.41582150844677
2,Karl Malone*,1964.0,1476.0,234.60000000000002,18.0,13.033333333333335,16.4,24.205530334296327,16.333333333333332,15.420000000000002,85.392197000963
18,Chris Paul,1986.0,950.0,171.49999999999997,11.585365853658537,14.80315789473684,18.6,20.344009489916964,17.400000000000002,14.0,85.14716738465381
31,Kevin Durant,1989.0,849.0,141.8,10.353658536585366,13.695641931684335,18.9,18.09596733027055,18.066666666666666,15.680000000000001,84.43827592862155
6,Dirk Nowitzki,1979.0,1522.0,206.40000000000003,18.5609756097561,11.120105124835744,17.9,22.611744084136728,16.7,15.440000000000001,83.77184920897247
7,Tim Duncan*,1977.0,1392.0,206.29999999999998,16.975609756097562,12.15272988505747,17.7,22.60574183651107,15.833333333333334,14.719999999999999,83.01180505490187
9,Artis Gilmore*,1950.0,1329.0,189.79999999999998,16.20731707317073,11.710759969902181,15.0,21.577989995452477,18.166666666666668,16.46,82.91541663202133
15,Charles Barkley*,1964.0,1073.0,177.10000000000002,13.085365853658537,13.534203168685929,16.4,20.73284944977757,16.7,15.160000000000002,82.5270526184635
8,Kevin Garnett*,1977.0,1462.0,191.49999999999997,17.829268292682926,10.740766073871407,17.7,21.687429218573044,16.666666666666668,15.540000000000001,82.33486195911112
11,Shaquille O'Neal*,1973.0,1207.0,181.60000000000002,14.71951219512195,12.337365368682686,17.3,21.03799814643188,16.8,13.960000000000003,81.43536351511457
23,Magic Johnson*,1960.0,906.0,155.70000000000002,11.048780487804878,14.092052980132452,16.0,19.18905595267439,16.166666666666668,14.960000000000003,80.40777559947352
12,Julius Erving*,1951.0,1243.0,181.00000000000003,15.158536585365853,11.940466613032987,15.1,20.99767981438515,17.266666666666666,14.98,80.28481309408481
5,John Stockton*,1963.0,1504.0,207.6,18.341463414634145,11.318617021276596,16.3,22.683566433566433,14.700000000000001,14.299999999999997,79.30218345484303
45,James Harden,1990.0,765.0,121.80000000000001,9.329268292682928,13.055686274509805,19.0,16.379774072081766,15.666666666666666,15.060000000000006,79.16212701325824
19,Bill Russell*,1935.0,963.0,163.39999999999998,11.74390243902439,13.913603322949115,13.5,19.762941461054666,16.566666666666666,15.24,78.98321145067044
26,Larry Bird*,1957.0,897.0,145.9,10.939024390243903,13.337569676700111,15.7,18.426370295529175,15.566666666666668,15.059999999999999,78.09060663889595
20,Jerry West*,1939.0,932.0,162.6,11.365853658536585,14.306008583690987,13.9,19.70431410567135,16.333333333333332,13.820000000000002,78.06365602269568
17,Kobe Bryant*,1979.0,1346.0,172.59999999999997,16.414634146341463,10.515007429420503,17.9,20.421202082347374,14.666666666666666,12.84,76.34287617843454
79,Stephen Curry,1989.0,694.0,103.09999999999998,8.463414634146341,12.181844380403456,18.9,14.599263664684225,15.666666666666664,14.16,75.50777471175434
13,Moses Malone*,1956.0,1455.0,179.2,17.74390243902439,10.099243986254296,15.6,20.87604846225536,14.866666666666667,14.040000000000001,75.48195911517632
33,Bob Pettit*,1933.0,792.0,136.1,9.658536585365853,14.091161616161616,13.3,17.624967624967624,14.866666666666667,13.420000000000005,73.30279590779591
21,Hakeem Olajuwon*,1963.0,1238.0,162.59999999999997,15.097560975609756,10.769951534733439,16.3,19.70431410567135,14.166666666666666,12.059999999999999,73.00093230707145
103,Neil Johnston*,1930.0,516.0,92.0,6.2926829268292686,14.62015503875969,13.0,13.450292397660817,16.333333333333332,15.319999999999999,72.72378076975383
